sex,row_number,liters_drunk,age,drink,check_number,label
0,2.0,4,47,Fanta,648,1
0,92.0,2,42,Water,6119,1
0,76.0,4,13,Fanta,8981,1
0,94.0,5,14,Cola,5251,1
0,73.0,0,76,Fanta,2799,0
1,18.0,2,24,Fanta,5320,0
1,24.0,0,30,Water,2386,1
1,15.0,0,36,Cola,4534,1
0,85.0,5,33,Fanta,888,1
0,100.0,0,44,Cola,6477,1
1,5.0,4,80,Bugbeer,7529,0
1,44.0,1,74,Water,1101,1
0,31.0,2,53,Cola,6146,0
1,99.0,3,19,Water,6720,1
1,8.0,1,43,Cola,4208,0
0,32.0,0,77,Cola,65,0
1,64.0,2,60,Beerbeer,2077,0
0,89.0,0,59,Beerbeer,7312,1
1,49.0,2,37,Bugbeer,7131,1
1,41.0,2,22,Strong beer,3596,1
0,91.0,3,10,Water,4220,1
1,57.0,5,27,Strong beer,9040,1
0,2.0,0,75,Strong beer,6938,1
0,55.0,2,71,Bugbeer,413,0
0,63.0,0,17,Fanta,978,1
0,96.0,1,41,Bugbeer,8070,1
0,9.0,1,29,Water,4112,1
0,86.0,3,60,Beerbeer,691,1
0,9.0,4,20,Water,3785,0
0,52.0,2,44,Fanta,2726,0
1,99.0,5,52,Beerbeer,2995,0
0,82.0,3,61,Fanta,1075,0
0,100.0,1,72,Beerbeer,2837,0
0,94.0,3,52,Water,2384,1
0,41.0,0,72,Beerbeer,4728,1
1,44.0,2,29,Fanta,1719,1
1,11.0,4,13,Fanta,1093,1
0,58.0,5,69,Strong beer,4633,0
0,29.0,4,70,Water,7008,1
0,20.0,2,19,Fanta,858,0
0,21.0,5,36,Water,3961,1
0,16.0,2,69,Fanta,1334,1
0,76.0,3,12,Fanta,3266,1
1,100.0,0,16,Water,6258,0
1,24.0,0,50,Water,4338,1
1,92.0,3,78,Beerbeer,2242,0
1,65.0,5,80,Fanta,9498,1
0,82.0,1,33,Water,9120,1
0,16.0,2,44,Beerbeer,6287,0
1,77.0,5,34,Fanta,4890,1
0,63.0,2,69,Beerbeer,9926,1
1,18.0,5,60,Cola,6805,1
0,22.0,2,60,Strong beer,1532,0
0,30.0,2,63,Cola,7195,0
0,34.0,5,62,Strong beer,5847,0
0,100.0,0,51,Cola,8198,0
0,18.0,3,53,Water,3385,0
1,77.0,5,73,Cola,6656,0
0,80.0,4,57,Bugbeer,8293,0
0,79.0,2,51,Cola,70,0
0,53.0,2,22,Bugbeer,4613,0
1,44.0,0,50,Bugbeer,7094,1
1,14.0,3,57,Strong beer,2409,0
1,77.0,0,24,Beerbeer,3330,1
0,100.0,5,44,Cola,8939,0
0,84.0,0,13,Water,6726,1
0,48.0,1,11,Cola,5720,0
0,92.0,2,19,Water,553,1
1,5.0,1,54,Water,5383,0
0,63.0,2,24,Strong beer,5530,1
0,100.0,1,10,Water,594,0
0,39.0,5,50,Strong beer,4292,1
1,51.0,5,76,Beerbeer,4939,1
0,21.0,1,32,Cola,6076,0
0,68.0,3,10,Water,446,1
0,65.0,3,73,Bugbeer,8768,0
0,17.0,1,27,Fanta,9848,1
0,12.0,5,60,Beerbeer,7472,1
0,99.0,2,42,Fanta,3638,0
0,11.0,1,37,Beerbeer,6030,1
1,21.0,2,74,Cola,2360,0
1,92.0,0,77,Water,1182,1
0,4.0,2,22,Bugbeer,295,1
1,64.0,1,72,Cola,8134,0
1,6.0,1,62,Cola,9988,1
0,31.0,4,40,Fanta,1041,1
0,11.0,5,63,Water,5233,1
1,42.0,4,23,Cola,9973,0
1,41.0,3,42,Strong beer,7374,1
0,75.0,0,17,Fanta,6051,0
0,90.0,4,64,Fanta,2358,0
0,34.0,1,37,Fanta,3830,1
0,83.0,5,20,Cola,7738,0
0,91.0,1,23,Strong beer,5230,1
0,100.0,2,61,Beerbeer,2733,0
0,70.0,0,17,Water,3317,0
0,40.0,2,11,Water,5728,1
1,100.0,5,75,Strong beer,1020,0
0,76.0,1,13,Fanta,418,1
0,8.0,5,60,Beerbeer,6950,1
1,90.0,3,60,Fanta,3986,1
0,34.0,5,74,Bugbeer,6537,1
1,71.0,4,33,Bugbeer,163,1
0,39.0,2,76,Cola,2921,0
0,52.0,5,18,Fanta,3276,0
0,73.0,3,36,Beerbeer,4828,1
0,9.0,0,46,Cola,2219,0
1,69.0,3,13,Cola,3053,1
1,15.0,0,30,Cola,8376,1
1,36.0,4,31,Strong beer,5108,1
1,100.0,2,21,Bugbeer,3777,1
0,26.0,5,41,Beerbeer,8737,1
1,50.0,3,42,Fanta,6063,1
1,79.0,5,56,Water,3061,0
1,62.0,2,32,Fanta,1480,1
1,100.0,1,31,Bugbeer,9770,1
1,33.0,5,37,Bugbeer,4956,1
0,40.0,2,34,Cola,7600,0
0,100.0,4,53,Strong beer,7277,0
0,100.0,0,80,Cola,9686,0
0,66.0,2,48,Strong beer,8510,1
0,58.0,5,26,Fanta,2383,0
1,55.0,5,30,Strong beer,1741,1
1,47.0,1,26,Fanta,8628,1
0,35.0,2,27,Cola,9760,0
0,14.0,2,25,Cola,6278,1
0,19.0,3,23,Water,8789,0
0,70.0,3,25,Cola,804,1
0,53.0,0,22,Cola,3708,0
0,43.0,2,49,Fanta,2010,1
1,6.0,3,41,Beerbeer,4207,0
0,1.0,5,21,Cola,657,0
1,6.0,1,70,Water,4694,0
1,30.0,3,41,Bugbeer,4547,0
1,99.0,1,78,Bugbeer,8176,0
1,100.0,3,19,Water,9368,0
1,25.0,5,71,Bugbeer,2287,1
0,28.0,2,57,Cola,3762,1
1,62.0,4,41,Cola,9992,0
0,27.0,1,33,Water,7944,1
0,9.0,1,41,Beerbeer,4918,1
0,71.0,0,33,Strong beer,5922,0
0,65.0,5,41,Bugbeer,3223,1
1,18.0,2,48,Beerbeer,7408,1
0,32.0,4,13,Fanta,1137,1
1,11.0,2,42,Water,9267,0
1,64.0,5,59,Water,7624,1
1,29.0,2,42,Bugbeer,2850,0
1,27.0,3,29,Strong beer,7982,1
1,37.0,0,28,Strong beer,9144,1
0,38.0,1,29,Water,6559,1
0,59.0,2,59,Cola,7967,0
1,94.0,5,11,Water,5436,1
0,48.0,1,15,Water,3617,1
1,38.0,1,47,Fanta,2642,0
0,51.0,2,54,Water,2185,1
0,84.0,0,43,Water,625,1
1,18.0,1,32,Beerbeer,4820,1
1,2.0,3,32,Beerbeer,1017,1
1,5.0,2,41,Fanta,6250,0
0,57.0,2,20,Water,7914,0
1,11.0,5,12,Fanta,9190,1
0,45.0,0,64,Water,1674,0
1,23.0,3,54,Strong beer,8252,0
1,73.0,3,16,Water,149,1
0,94.0,4,25,Cola,2847,0
0,5.0,4,46,Cola,6928,0
0,19.0,2,20,Cola,9246,0
0,93.0,5,40,Water,2885,1
1,6.0,2,21,Bugbeer,4061,1
0,29.0,4,22,Water,6887,1
1,72.0,0,68,Fanta,1360,1
1,100.0,3,15,Cola,794,1
0,10.0,0,49,Bugbeer,2413,0
0,23.0,0,40,Strong beer,637,1
1,25.0,2,78,Strong beer,2668,1
0,44.0,3,77,Water,2047,1
0,85.0,2,79,Fanta,7087,0
0,41.0,5,60,Beerbeer,3377,0
0,56.0,2,11,Water,5249,1
1,81.0,2,61,Fanta,522,0
0,100.0,5,18,Fanta,2479,1
0,19.0,4,70,Beerbeer,9096,0
0,71.0,4,27,Strong beer,6032,1
1,56.0,0,18,Water,3442,0
1,100.0,2,39,Bugbeer,2682,0
0,75.0,0,24,Bugbeer,5024,1
1,38.0,5,29,Bugbeer,9358,1
0,37.0,2,11,Cola,351,0
1,19.0,3,40,Fanta,3692,1
0,41.0,1,35,Fanta,3558,0
0,42.0,0,48,Beerbeer,5036,0
0,67.0,1,64,Bugbeer,3150,1
0,38.0,1,20,Cola,4200,1
0,82.0,4,51,Beerbeer,9133,1
1,100.0,3,33,Water,3670,0
0,11.0,4,25,Beerbeer,7647,1
1,56.0,4,23,Beerbeer,7703,1
0,39.0,4,62,Fanta,3282,0
0,53.0,3,48,Cola,5897,1
0,9.0,0,56,Cola,6672,1
1,2.0,3,71,Bugbeer,7831,0
1,74.0,0,37,Strong beer,3880,1
0,16.0,3,75,Fanta,7789,1
0,32.0,2,73,Fanta,1077,0
1,67.0,5,69,Strong beer,4704,1
1,4.0,0,63,Beerbeer,5324,1
1,9.0,4,15,Fanta,1973,0
0,89.0,2,11,Fanta,7984,1
0,10.0,2,14,Cola,2794,1
1,95.0,4,22,Strong beer,5546,1
1,69.0,5,53,Fanta,1560,0
0,12.0,2,25,Cola,4697,1
1,48.0,2,71,Beerbeer,232,1
1,92.0,3,61,Beerbeer,4044,0
0,10.0,4,67,Strong beer,5796,1
1,100.0,3,34,Cola,7606,1
0,22.0,4,31,Strong beer,5041,1
1,43.0,5,66,Beerbeer,2780,0
1,100.0,3,25,Fanta,3541,0
0,58.0,4,33,Bugbeer,4432,1
1,83.0,3,65,Fanta,8689,1
1,55.0,4,44,Fanta,5025,1
1,10.0,2,58,Strong beer,8154,0
0,14.0,2,41,Bugbeer,3153,1
0,74.0,2,72,Fanta,2601,1
1,50.0,0,12,Fanta,8325,0
1,54.0,2,71,Fanta,1161,1
0,2.0,1,77,Bugbeer,7478,1
0,57.0,3,58,Beerbeer,6867,1
0,47.0,3,41,Fanta,9671,1
1,69.0,3,73,Strong beer,3156,0
0,24.0,2,75,Cola,3893,0
0,100.0,4,21,Strong beer,7550,1
0,96.0,3,24,Cola,141,0
0,77.0,0,44,Bugbeer,9138,0
1,90.0,2,48,Fanta,1483,0
1,58.0,2,51,Fanta,8426,1
0,34.0,2,80,Fanta,9950,1
1,47.0,2,32,Strong beer,5373,1
0,0.0,1,77,Beerbeer,4167,1
1,45.0,3,12,Water,3021,1
1,39.0,3,18,Water,2813,1
1,25.0,2,40,Strong beer,5825,1
0,24.0,0,68,Cola,2624,1
0,44.0,0,38,Strong beer,877,0
1,59.0,1,30,Strong beer,3701,0
0,51.0,5,66,Bugbeer,4895,0
1,41.0,2,17,Fanta,2932,0
1,88.0,1,32,Water,8002,0
0,68.0,2,53,Strong beer,4883,1
0,100.0,0,51,Beerbeer,486,0
1,30.0,4,37,Water,5475,1
1,58.0,3,14,Cola,6381,0
1,85.0,1,29,Strong beer,5160,0
0,81.0,3,35,Bugbeer,7906,1
0,35.0,0,69,Bugbeer,807,0
0,77.0,1,67,Fanta,2539,1
0,5.0,3,10,Cola,9857,1
0,28.0,5,66,Water,5605,1
1,10.0,2,18,Water,3497,0
0,61.0,4,37,Beerbeer,3532,1
0,35.0,4,38,Water,2854,0
1,12.0,2,73,Strong beer,164,0
1,0.0,3,49,Strong beer,9003,1
0,25.0,1,13,Fanta,4556,1
1,33.0,2,60,Strong beer,5054,0
0,12.0,5,22,Beerbeer,9550,1
1,79.0,0,64,Water,4670,1
0,17.0,5,60,Cola,8075,1
0,49.0,3,30,Water,6466,0
1,12.0,2,12,Water,2911,0
1,73.0,1,54,Strong beer,9957,1
0,3.0,2,10,Cola,5151,0
1,10.0,0,30,Bugbeer,7461,1
0,51.0,2,40,Fanta,2838,1
0,71.0,5,29,Bugbeer,4323,1
0,2.0,2,70,Fanta,9263,1
1,86.0,4,46,Fanta,5691,1
1,51.0,0,76,Beerbeer,2092,1
1,73.0,5,54,Strong beer,8623,1
1,49.0,1,23,Beerbeer,9645,0
1,13.0,4,80,Fanta,8220,0
0,23.0,1,24,Water,6941,1
1,18.0,1,75,Strong beer,6090,1
1,10.0,2,23,Cola,7028,1
1,54.0,0,69,Cola,6628,0
0,1.0,2,78,Cola,2690,1
1,17.0,2,14,Fanta,4300,0
1,54.0,2,13,Cola,5442,1
0,76.0,3,12,Water,9754,1
0,42.0,4,52,Fanta,370,1
1,100.0,2,64,Strong beer,1421,1
0,55.0,0,46,Water,4222,1
0,69.0,3,51,Strong beer,7601,1
1,77.0,3,79,Bugbeer,7357,1
0,55.0,2,64,Water,1593,0
1,21.0,0,20,Water,7029,0
1,16.0,3,35,Beerbeer,9955,1
0,71.0,0,75,Fanta,1164,1
0,86.0,3,80,Bugbeer,3614,0
0,89.0,5,23,Cola,634,1
1,4.0,2,68,Bugbeer,5966,1
0,68.0,5,27,Strong beer,2657,1
1,49.0,2,57,Cola,1900,1
0,7.0,5,67,Fanta,589,1
1,100.0,4,17,Water,9439,0
0,100.0,0,38,Beerbeer,2463,0
1,54.0,1,26,Bugbeer,6121,0
1,36.0,2,22,Bugbeer,9523,0
0,33.0,3,57,Cola,1553,0
1,26.0,5,17,Cola,2798,1
1,43.0,2,78,Bugbeer,3620,0
0,9.0,2,52,Beerbeer,6333,1
0,100.0,3,36,Beerbeer,8753,0
0,25.0,4,24,Fanta,8691,1
1,70.0,0,43,Strong beer,9437,1
1,12.0,4,30,Beerbeer,5571,1
0,6.0,3,77,Bugbeer,1115,1
1,89.0,5,22,Strong beer,7160,1
0,67.0,3,60,Beerbeer,1523,0
0,7.0,3,23,Water,2547,1
1,30.0,4,73,Strong beer,100,1
1,29.0,3,51,Strong beer,2284,0
0,5.0,4,20,Cola,4924,1
0,42.0,2,48,Bugbeer,3047,0
0,28.0,2,64,Bugbeer,9623,0
0,100.0,5,46,Beerbeer,4259,1
1,25.0,0,20,Fanta,5093,0
0,77.0,0,46,Water,3828,0
0,9.0,3,45,Water,4383,1
1,97.0,3,55,Beerbeer,1712,0
0,34.0,3,46,Beerbeer,3816,1
0,36.0,1,49,Water,6047,1
1,32.0,1,39,Strong beer,7558,1
0,67.0,1,67,Bugbeer,5167,0
0,93.0,4,77,Beerbeer,6579,1
1,9.0,1,25,Bugbeer,6725,0
0,27.0,5,50,Cola,3476,1
0,54.0,3,11,Cola,4320,0
1,31.0,0,48,Bugbeer,590,0
0,73.0,4,22,Bugbeer,3963,1
1,98.0,5,32,Bugbeer,8494,1
0,67.0,2,20,Fanta,7926,0
1,48.0,0,74,Water,3224,0
0,94.0,0,31,Cola,9536,0
1,82.0,4,56,Cola,8173,0
0,32.0,2,80,Water,6450,0
1,100.0,4,33,Fanta,5112,0
0,100.0,0,31,Beerbeer,2947,1
1,78.0,0,73,Strong beer,2570,0
0,74.0,3,69,Fanta,1356,1
0,58.0,3,63,Fanta,3270,1
1,78.0,1,66,Cola,3860,0
0,83.0,0,68,Beerbeer,4841,1
1,90.0,3,75,Fanta,3548,1
0,44.0,2,52,Bugbeer,1521,1
1,6.0,2,63,Cola,4304,0
0,57.0,1,64,Water,5768,0
1,100.0,1,70,Fanta,8231,1
0,26.0,4,72,Fanta,3652,0
0,63.0,0,64,Beerbeer,4496,0
0,36.0,3,69,Cola,7820,0
0,1.0,5,11,Water,6593,1
1,20.0,5,74,Water,9070,1
1,78.0,0,66,Cola,547,0
0,43.0,3,78,Strong beer,2499,1
0,4.0,2,32,Fanta,1538,1
1,27.0,0,57,Bugbeer,3431,0
0,77.0,5,31,Cola,8199,0
1,86.0,5,80,Fanta,3392,0
0,76.0,4,48,Strong beer,353,1
0,36.0,0,15,Cola,9274,1
1,92.0,4,71,Water,1458,1
1,5.0,0,31,Cola,421,1
0,24.0,5,47,Bugbeer,3637,1
0,100.0,2,71,Water,3283,0
0,99.0,3,22,Water,818,0
0,92.0,1,22,Cola,4718,1
0,100.0,2,67,Cola,7751,1
1,13.0,1,72,Cola,3572,1
1,77.0,3,14,Cola,4875,1
1,95.0,3,22,Water,3954,0
1,48.0,5,13,Cola,9590,1
0,23.0,4,21,Beerbeer,1777,1
1,4.0,1,34,Strong beer,2485,1
0,57.0,3,55,Water,6677,0
0,95.0,1,57,Fanta,1503,1
0,98.0,3,31,Fanta,5617,0
1,83.0,3,32,Cola,136,1
1,98.0,3,65,Fanta,3101,1
0,84.0,3,23,Fanta,478,1
0,21.0,0,43,Fanta,679,1
0,56.0,5,27,Fanta,6303,0
1,17.0,2,65,Bugbeer,9353,0
1,73.0,0,21,Fanta,201,1
0,18.0,2,80,Bugbeer,4026,1
0,33.0,2,33,Beerbeer,4166,0
0,69.0,1,45,Cola,1438,0
1,95.0,2,38,Fanta,2407,1
0,64.0,0,54,Water,405,0
1,88.0,2,74,Bugbeer,7537,1
1,15.0,2,17,Water,8659,1
0,5.0,0,11,Cola,5392,0
0,65.0,2,32,Beerbeer,5666,1
0,76.0,5,33,Strong beer,3135,1
0,9.0,2,50,Water,5402,1
1,92.0,4,74,Beerbeer,3000,1
0,89.0,1,68,Cola,5664,0
1,10.0,1,17,Fanta,3518,0
0,49.0,4,14,Water,5192,0
1,92.0,2,15,Fanta,2401,1
1,57.0,1,33,Cola,1226,1
0,2.0,2,44,Fanta,4403,0
1,49.0,2,59,Fanta,1612,1
0,76.0,3,11,Water,680,1
0,78.0,2,59,Cola,7059,1
1,26.0,2,29,Beerbeer,6293,0
1,98.0,1,33,Water,86,0
0,56.0,4,77,Fanta,272,1
0,81.0,2,39,Cola,4156,1
1,45.0,4,60,Bugbeer,950,1
0,55.0,5,20,Cola,302,1
1,49.0,0,69,Fanta,952,0
1,74.0,4,76,Fanta,9411,0
0,59.0,1,79,Cola,7502,0
0,67.0,5,33,Fanta,8373,1
0,85.0,2,12,Water,6866,0
1,100.0,3,22,Strong beer,5660,1
1,70.0,4,76,Cola,4538,0
0,66.0,2,33,Beerbeer,8717,0
1,45.0,1,28,Beerbeer,2009,0
0,39.0,2,24,Strong beer,2337,1
1,53.0,1,61,Beerbeer,4151,1
1,72.0,2,55,Fanta,1883,1
0,52.0,0,22,Water,3910,1
1,42.0,1,15,Water,5986,1
0,5.0,2,71,Beerbeer,2678,1
0,0.0,4,27,Water,5384,1
1,32.0,4,73,Strong beer,2942,0
0,78.0,1,55,Cola,5158,1
0,16.0,1,32,Strong beer,7393,1
1,12.0,1,20,Cola,8615,1
1,12.0,2,70,Strong beer,4401,0
1,94.0,3,19,Water,9962,1
1,19.0,2,38,Bugbeer,4347,1
1,48.0,0,66,Strong beer,8356,0
1,97.0,5,47,Beerbeer,8283,1
1,95.0,3,45,Beerbeer,670,1
1,94.0,2,25,Water,7432,1
1,35.0,0,35,Fanta,3157,0
0,5.0,0,62,Beerbeer,5412,0
1,82.0,3,40,Fanta,8081,1
0,11.0,3,79,Fanta,4334,0
0,99.0,0,74,Strong beer,5477,1
0,77.0,0,78,Bugbeer,738,1
0,20.0,4,72,Fanta,1357,1
0,89.0,2,12,Fanta,11,0
0,19.0,1,34,Strong beer,4716,0
1,31.0,2,40,Strong beer,4609,0
1,54.0,2,55,Beerbeer,6742,0
1,42.0,0,65,Strong beer,8200,1
1,50.0,2,44,Water,6108,1
0,74.0,1,73,Water,4899,0
0,13.0,2,14,Water,3004,0
1,41.0,2,72,Cola,2312,1
0,26.0,3,17,Cola,6924,0
1,79.0,0,70,Beerbeer,2326,1
0,30.0,1,59,Water,7814,1
1,35.0,3,75,Fanta,3454,0
0,35.0,3,58,Bugbeer,8241,1
0,23.0,0,33,Bugbeer,8744,1
1,16.0,5,72,Strong beer,5547,1
1,8.0,4,64,Strong beer,4690,1
1,87.0,1,32,Fanta,4169,0
0,93.0,1,24,Bugbeer,7453,0
0,23.0,4,17,Cola,1390,1
0,58.0,3,60,Beerbeer,6727,0
0,58.0,0,47,Bugbeer,3836,1
0,84.0,5,50,Fanta,9616,0
1,81.0,1,23,Strong beer,7229,1
0,66.0,5,22,Beerbeer,7795,1
1,58.0,3,67,Cola,5058,1
0,64.0,3,54,Cola,1881,1
0,10.0,2,73,Cola,7698,0
0,43.0,4,79,Bugbeer,2107,0
1,100.0,2,64,Bugbeer,4037,0
1,5.0,2,39,Water,5640,1
0,83.0,3,37,Bugbeer,5130,0
0,33.0,5,19,Fanta,3684,1
1,51.0,2,53,Water,5736,0
1,97.0,4,53,Fanta,8800,1
0,78.0,1,78,Cola,7031,1
1,80.0,0,23,Beerbeer,8790,0
1,50.0,3,11,Cola,4557,1
0,100.0,3,68,Cola,2628,1
1,82.0,0,17,Fanta,3360,1
0,22.0,1,65,Strong beer,8893,1
0,6.0,0,62,Beerbeer,8721,0
0,66.0,2,71,Cola,5446,1
0,69.0,1,50,Fanta,2816,1
1,16.0,4,37,Beerbeer,2797,1
1,31.0,0,33,Fanta,7381,0
1,84.0,0,76,Water,1794,0
0,90.0,3,47,Water,6439,1
0,79.0,4,59,Cola,1828,0
0,48.0,2,26,Strong beer,7047,1
0,75.0,3,30,Water,9024,1
1,32.0,3,51,Beerbeer,4390,0
0,79.0,5,62,Beerbeer,1701,0
1,100.0,5,63,Beerbeer,7934,0
0,100.0,0,60,Bugbeer,9831,0
0,37.0,5,31,Water,8270,0
1,29.0,0,26,Beerbeer,399,1
1,69.0,5,39,Fanta,6347,1
0,59.0,3,19,Fanta,533,1
1,81.0,3,26,Strong beer,5110,0
1,92.0,1,74,Beerbeer,3747,1
0,18.0,4,34,Bugbeer,9044,1
1,33.0,2,23,Water,1847,1
0,79.0,2,79,Fanta,5469,0
0,64.0,4,54,Cola,9048,0
0,39.0,2,74,Beerbeer,1923,1
0,51.0,2,40,Strong beer,8517,1
0,78.0,2,38,Fanta,6740,1
1,2.0,3,59,Strong beer,9604,1
1,80.0,3,75,Water,4909,0
1,54.0,1,28,Beerbeer,6885,1
1,100.0,2,75,Beerbeer,6703,1
0,82.0,2,78,Strong beer,4083,0
0,52.0,3,35,Fanta,9636,0
1,52.0,5,59,Fanta,6951,1
1,86.0,0,67,Water,1485,0
1,11.0,5,38,Bugbeer,5452,1
1,5.0,0,73,Fanta,3440,1
0,41.0,0,76,Strong beer,996,1
0,10.0,3,23,Strong beer,8102,0
0,95.0,5,22,Strong beer,2272,1
0,68.0,2,70,Water,4309,0
0,4.0,3,77,Water,9493,1
1,0.0,0,76,Cola,4696,1
0,69.0,5,41,Bugbeer,3401,1
1,72.0,2,31,Bugbeer,3921,0
0,38.0,4,45,Cola,1304,0
1,100.0,3,80,Strong beer,5217,1
1,76.0,2,44,Bugbeer,7494,1
0,96.0,3,76,Strong beer,431,1
1,7.0,1,18,Water,2629,0
1,6.0,5,61,Beerbeer,1786,0
0,100.0,2,35,Beerbeer,7015,0
1,58.0,4,69,Beerbeer,5271,1
1,13.0,5,58,Cola,4055,0
0,18.0,2,18,Fanta,6423,1
0,32.0,3,53,Beerbeer,9311,0
1,91.0,3,61,Beerbeer,7075,1
1,62.0,4,29,Strong beer,4750,1
0,92.0,3,14,Water,6842,0
1,100.0,2,73,Cola,9594,0
1,53.0,1,19,Fanta,4766,1
0,63.0,2,63,Cola,6845,0
0,100.0,4,17,Water,2328,1
0,32.0,2,62,Cola,6813,0
0,54.0,2,28,Bugbeer,8833,0
0,70.0,0,55,Strong beer,1516,1
1,12.0,5,14,Fanta,1201,1
1,9.0,4,26,Bugbeer,9902,1
0,97.0,4,62,Bugbeer,9815,0
0,31.0,1,69,Bugbeer,692,1
0,43.0,3,49,Beerbeer,4994,1
0,67.0,2,18,Cola,793,1
1,94.0,4,13,Fanta,9125,1
0,52.0,3,22,Strong beer,2997,1
0,47.0,3,67,Water,8401,0
0,18.0,2,18,Water,2340,1
0,65.0,0,33,Cola,3644,1
0,53.0,3,13,Fanta,3894,0
1,30.0,0,13,Water,6695,1
0,100.0,5,63,Water,2098,1
0,16.0,2,70,Water,4140,0
1,93.0,3,19,Fanta,6290,1
1,83.0,4,58,Bugbeer,8132,0
0,18.0,3,46,Strong beer,6954,0
1,91.0,0,45,Fanta,9051,1
1,14.0,0,34,Strong beer,3071,1
1,23.0,1,46,Strong beer,5139,0
0,7.0,0,66,Strong beer,4753,1
1,60.0,4,63,Water,3823,0
0,94.0,3,63,Beerbeer,3618,0
0,69.0,3,62,Strong beer,7739,0
0,11.0,1,44,Beerbeer,313,1
1,12.0,5,54,Strong beer,6421,1
0,31.0,0,61,Cola,1723,0
0,39.0,2,77,Cola,5258,0
0,35.0,2,33,Strong beer,4968,1
0,60.0,3,44,Bugbeer,3362,1
0,53.0,3,46,Bugbeer,4590,0
0,85.0,2,52,Strong beer,2032,1
0,92.0,5,29,Fanta,3049,0
1,21.0,0,61,Fanta,3647,1
1,48.0,0,42,Beerbeer,729,1
1,83.0,3,53,Bugbeer,8693,1
0,67.0,4,47,Bugbeer,6807,1
0,8.0,2,50,Strong beer,2305,0
1,12.0,3,15,Water,1120,1
1,2.0,5,44,Strong beer,5212,1
0,83.0,0,63,Bugbeer,1381,0
1,4.0,5,56,Bugbeer,7114,1
1,41.0,0,75,Water,60,1
1,42.0,4,76,Cola,9067,1
0,12.0,1,67,Beerbeer,7224,1
1,26.0,2,33,Water,3735,0
1,66.0,2,21,Fanta,7423,1
1,8.0,2,32,Strong beer,9916,0
1,26.0,5,33,Water,1606,0
0,61.0,4,29,Bugbeer,3792,1
1,71.0,4,26,Strong beer,2724,1
0,41.0,4,20,Fanta,4236,1
0,59.0,5,56,Cola,6966,0
0,42.0,3,50,Strong beer,584,1
1,100.0,2,32,Cola,2573,1
1,10.0,4,28,Strong beer,1269,1
1,34.0,0,14,Cola,4355,1
1,35.0,0,39,Cola,8862,0
1,20.0,2,63,Beerbeer,8891,0
1,56.0,3,77,Beerbeer,6711,1
1,85.0,1,59,Cola,4508,0
1,8.0,4,48,Beerbeer,151,1
1,28.0,0,59,Cola,8719,1
1,99.0,3,30,Fanta,1479,1
0,47.0,4,37,Bugbeer,9446,1
0,18.0,2,54,Beerbeer,3551,1
0,56.0,2,59,Bugbeer,930,0
1,34.0,1,68,Fanta,9489,1
1,30.0,3,16,Cola,8008,0
1,72.0,0,47,Cola,8734,0
0,86.0,3,39,Cola,1956,1
1,58.0,3,80,Cola,8936,1
0,78.0,5,32,Water,1817,1
1,100.0,0,24,Cola,6228,1
1,87.0,5,69,Water,5204,1
0,95.0,5,27,Beerbeer,980,1
0,93.0,1,49,Cola,6889,0
0,36.0,4,34,Bugbeer,4446,1
0,54.0,2,57,Cola,3681,0
0,39.0,3,50,Bugbeer,8417,1
0,62.0,1,26,Fanta,3492,1
1,4.0,1,27,Water,5565,1
1,32.0,0,29,Strong beer,4558,1
0,85.0,2,34,Cola,9174,0
1,51.0,0,49,Water,4579,1
0,60.0,0,23,Water,1753,1
0,51.0,0,74,Beerbeer,1729,0
1,57.0,2,52,Cola,6556,0
1,35.0,4,56,Cola,3343,1
0,35.0,4,20,Water,1785,0
1,63.0,4,37,Fanta,9113,0
0,75.0,5,69,Cola,4291,0
1,31.0,2,28,Strong beer,8514,1
1,48.0,5,19,Water,9832,0
1,5.0,2,22,Strong beer,3273,1
0,96.0,2,15,Cola,2587,1
1,16.0,5,71,Water,1239,1
0,81.0,2,26,Cola,8736,1
0,15.0,2,45,Strong beer,2268,1
1,85.0,4,31,Water,28,0
1,70.0,2,45,Water,2239,1
0,97.0,1,14,Fanta,4469,0
0,2.0,1,31,Cola,4219,1
1,90.0,4,17,Water,2654,0
1,62.0,1,36,Fanta,881,1
0,55.0,5,76,Strong beer,9715,1
0,1.0,1,37,Fanta,6437,0
1,84.0,1,68,Cola,2750,0
1,64.0,4,78,Water,3495,0
0,10.0,0,78,Strong beer,7101,1
0,22.0,4,15,Water,8012,0
0,96.0,1,55,Bugbeer,1441,0
0,87.0,3,19,Fanta,2335,0
1,71.0,2,21,Strong beer,4427,0
0,31.0,3,39,Strong beer,5579,0
1,67.0,5,46,Strong beer,9746,1
0,49.0,3,70,Beerbeer,6239,0
1,46.0,5,19,Water,9740,1
1,93.0,1,56,Beerbeer,9682,0
0,21.0,2,51,Fanta,8818,0
0,40.0,2,51,Strong beer,7872,0
0,91.0,5,26,Bugbeer,2691,1
0,5.0,0,48,Beerbeer,7868,1
1,52.0,3,69,Fanta,5083,1
0,30.0,3,25,Cola,2734,1
1,23.0,0,44,Water,7000,1
1,24.0,2,16,Water,4283,1
1,98.0,3,47,Cola,3613,1
0,59.0,5,34,Beerbeer,5682,1
1,86.0,3,65,Cola,8845,1
0,21.0,3,33,Water,6860,1
0,1.0,2,45,Cola,4892,1
